name,folder,wrote,hasImage,appid,steamUrl
Age of Conquest IV,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Age of Conquest IV,True,True,,
Air Brawl,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Air Brawl,True,True,,
Albion online,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Albion online,True,True,,
Alchemy Unbound,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Alchemy Unbound,True,True,,
Ampersat,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Ampersat,True,True,,
Anchors start,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Anchors start,True,False,,
Aplovare collection,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Aplovare collection,True,False,,
Astral party,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Astral party,True,True,,
Atlyss,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Atlyss,True,True,,
AWARIA,d:\CWP\clockworksproduction.github.io\docs\asset\Game\AWARIA,True,True,,
Balatro,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Balatro,True,True,,
Besiege,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Besiege,True,True,,
bitburner,d:\CWP\clockworksproduction.github.io\docs\asset\Game\bitburner,True,True,,
Black desert,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Black desert,True,True,,
Black skyland,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Black skyland,True,True,,
Blasterbeat,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Blasterbeat,True,True,,
bloody hell,d:\CWP\clockworksproduction.github.io\docs\asset\Game\bloody hell,True,True,,
Boardland,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Boardland,True,True,,
Borderland 2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Borderland 2,True,True,,
bronzebeard's tarven,d:\CWP\clockworksproduction.github.io\docs\asset\Game\bronzebeard's tarven,True,False,,
buckshot roulette,d:\CWP\clockworksproduction.github.io\docs\asset\Game\buckshot roulette,True,True,,
Call of Duty(2022),d:\CWP\clockworksproduction.github.io\docs\asset\Game\Call of Duty(2022),True,False,,
Call of War,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Call of War,True,True,,
Cast & spell,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Cast & spell,True,True,,
Cave crawer,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Cave crawer,True,False,,
cell to singuality,d:\CWP\clockworksproduction.github.io\docs\asset\Game\cell to singuality,True,False,,
chamber the outlaw,d:\CWP\clockworksproduction.github.io\docs\asset\Game\chamber the outlaw,True,True,,
cityidel,d:\CWP\clockworksproduction.github.io\docs\asset\Game\cityidel,True,False,,
cividel,d:\CWP\clockworksproduction.github.io\docs\asset\Game\cividel,True,False,,
content warning,d:\CWP\clockworksproduction.github.io\docs\asset\Game\content warning,True,True,,
cookard,d:\CWP\clockworksproduction.github.io\docs\asset\Game\cookard,True,True,,
CS2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\CS2,True,True,,
craterbound,d:\CWP\clockworksproduction.github.io\docs\asset\Game\craterbound,True,True,,
crossout,d:\CWP\clockworksproduction.github.io\docs\asset\Game\crossout,True,True,,
crusader king II,d:\CWP\clockworksproduction.github.io\docs\asset\Game\crusader king II,True,True,,
Cureocity,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Cureocity,True,True,,
Dark and Darker,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Dark and Darker,True,True,,
Dark lord,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Dark lord,True,True,,
DCS,d:\CWP\clockworksproduction.github.io\docs\asset\Game\DCS,True,True,,
Deepest sword,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Deepest sword,True,True,,
Desserted Island,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Desserted Island,True,True,,
Disfigure,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Disfigure,True,True,,
Dominion,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Dominion,True,True,,
Don't starve together,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Don't starve together,True,True,,
Doom 1,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Doom 1,True,True,,
Doom 2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Doom 2,True,True,,
Doronko wanko,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Doronko wanko,True,True,,
dreadmoon,d:\CWP\clockworksproduction.github.io\docs\asset\Game\dreadmoon,True,True,,
Dungeon and Dragon online,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Dungeon and Dragon online,True,False,,
Dream BBQ,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Dream BBQ,True,True,,
endless sky,d:\CWP\clockworksproduction.github.io\docs\asset\Game\endless sky,True,True,,
enlisted,d:\CWP\clockworksproduction.github.io\docs\asset\Game\enlisted,True,True,,
fallout shelter,d:\CWP\clockworksproduction.github.io\docs\asset\Game\fallout shelter,True,True,,
fantasy general II,d:\CWP\clockworksproduction.github.io\docs\asset\Game\fantasy general II,True,True,,
Field of glory II,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Field of glory II,True,True,,
Fishing online,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Fishing online,True,True,,
fishing planet,d:\CWP\clockworksproduction.github.io\docs\asset\Game\fishing planet,True,True,,
point forty five,d:\CWP\clockworksproduction.github.io\docs\asset\Game\point forty five,True,True,,
FPS Chess,d:\CWP\clockworksproduction.github.io\docs\asset\Game\FPS Chess,True,True,,
Franzen,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Franzen,True,True,,
FNAF 6,d:\CWP\clockworksproduction.github.io\docs\asset\Game\FNAF 6,True,True,,
gate keeper infinity,d:\CWP\clockworksproduction.github.io\docs\asset\Game\gate keeper infinity,True,True,,
Goose Goose duck,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Goose Goose duck,True,True,,
Helltaker,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Helltaker,True,True,,
Hitman world of assination,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Hitman world of assination,True,True,,
Holobreak,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Holobreak,True,False,,
holocure,d:\CWP\clockworksproduction.github.io\docs\asset\Game\holocure,True,True,,
idel cave miner,d:\CWP\clockworksproduction.github.io\docs\asset\Game\idel cave miner,True,True,,
idelOn,d:\CWP\clockworksproduction.github.io\docs\asset\Game\idelOn,True,False,,
Idol Showdown,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Idol Showdown,True,True,,
IndustryIdel,d:\CWP\clockworksproduction.github.io\docs\asset\Game\IndustryIdel,True,False,,
Infinitode 2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Infinitode 2,True,True,,
Influxis,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Influxis,True,True,,
instruction,d:\CWP\clockworksproduction.github.io\docs\asset\Game\instruction,True,True,,
islander,d:\CWP\clockworksproduction.github.io\docs\asset\Game\islander,True,True,,
johney rocketfinger,d:\CWP\clockworksproduction.github.io\docs\asset\Game\johney rocketfinger,True,False,,
juice galaxy,d:\CWP\clockworksproduction.github.io\docs\asset\Game\juice galaxy,True,False,,
Kards,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Kards,True,True,,
Kerbal Space Program,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Kerbal Space Program,True,False,,
Kight fall,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Kight fall,True,False,,
Learn to fly 3,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Learn to fly 3,True,True,,
Limbus company,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Limbus company,True,True,,
Lycanthorn II,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Lycanthorn II,True,True,,
Machinka Museum,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Machinka Museum,True,False,,
marbel on stream,d:\CWP\clockworksproduction.github.io\docs\asset\Game\marbel on stream,True,False,,
metal waltz,d:\CWP\clockworksproduction.github.io\docs\asset\Game\metal waltz,True,True,,
meteor 60 second,d:\CWP\clockworksproduction.github.io\docs\asset\Game\meteor 60 second,True,True,,
metro 2033,d:\CWP\clockworksproduction.github.io\docs\asset\Game\metro 2033,True,True,,
Moonring,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Moonring,True,True,,
Muck,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Muck,True,True,,
Nethack,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Nethack,True,True,,
Night is coming,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Night is coming,True,True,,
Night of fullmoon,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Night of fullmoon,True,False,,
the night shift,d:\CWP\clockworksproduction.github.io\docs\asset\Game\the night shift,True,True,,
NUBS,d:\CWP\clockworksproduction.github.io\docs\asset\Game\NUBS,True,True,,
Eden Crafter,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Eden Crafter,True,True,,
Ruinscape,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Ruinscape,True,True,,
One milion fatal gun,d:\CWP\clockworksproduction.github.io\docs\asset\Game\One milion fatal gun,True,True,,
once human,d:\CWP\clockworksproduction.github.io\docs\asset\Game\once human,True,True,,
one arm cook,d:\CWP\clockworksproduction.github.io\docs\asset\Game\one arm cook,True,True,,
one arm robber,d:\CWP\clockworksproduction.github.io\docs\asset\Game\one arm robber,True,True,,
onebit adventure,d:\CWP\clockworksproduction.github.io\docs\asset\Game\onebit adventure,True,True,,
operation harsh doorstop,d:\CWP\clockworksproduction.github.io\docs\asset\Game\operation harsh doorstop,True,False,,
palia,d:\CWP\clockworksproduction.github.io\docs\asset\Game\palia,True,True,,
path of exile secret of atlas,d:\CWP\clockworksproduction.github.io\docs\asset\Game\path of exile secret of atlas,True,True,,
path master,d:\CWP\clockworksproduction.github.io\docs\asset\Game\path master,True,True,,
payday 2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\payday 2,True,True,,
PEAK,d:\CWP\clockworksproduction.github.io\docs\asset\Game\PEAK,True,False,,
people playground,d:\CWP\clockworksproduction.github.io\docs\asset\Game\people playground,True,True,,
pico park 2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\pico park 2,True,True,,
Pumkin panic,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Pumkin panic,True,False,,
Quake II,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Quake II,True,False,,
Quake Chapion,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Quake Chapion,True,False,,
Planet Mort,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Planet Mort,True,True,,
Planet S,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Planet S,True,True,,
Rleam of mad god Exalt,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Rleam of mad god Exalt,True,True,,
Reverse 1999,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Reverse 1999,True,True,,
SCP Secret Lab,d:\CWP\clockworksproduction.github.io\docs\asset\Game\SCP Secret Lab,True,True,,
Shrine 1,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Shrine 1,True,False,,
Shrine 2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Shrine 2,True,False,,
the Sim 4,d:\CWP\clockworksproduction.github.io\docs\asset\Game\the Sim 4,True,False,,
Star birds,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Star birds,True,True,,
stardew valey,d:\CWP\clockworksproduction.github.io\docs\asset\Game\stardew valey,True,False,,
sub morse,d:\CWP\clockworksproduction.github.io\docs\asset\Game\sub morse,True,True,,
Such art,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Such art,True,True,,
Supermarket together,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Supermarket together,True,True,,
supervive,d:\CWP\clockworksproduction.github.io\docs\asset\Game\supervive,True,True,,
supremacy 1914,d:\CWP\clockworksproduction.github.io\docs\asset\Game\supremacy 1914,True,True,,
teku,d:\CWP\clockworksproduction.github.io\docs\asset\Game\teku,True,True,,
the hunter clasic,d:\CWP\clockworksproduction.github.io\docs\asset\Game\the hunter clasic,True,False,,
through the wood,d:\CWP\clockworksproduction.github.io\docs\asset\Game\through the wood,True,True,,
Totaly Accuret BAttleground,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Totaly Accuret BAttleground,True,False,,
Trackmania,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Trackmania,True,False,,
Trackmania Nation forever,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Trackmania Nation forever,True,False,,
FANF Ultimate Custom Night,d:\CWP\clockworksproduction.github.io\docs\asset\Game\FANF Ultimate Custom Night,True,True,,
Underminer,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Underminer,True,True,,
Unnamed spece idel,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Unnamed spece idel,True,False,,
Unslove case,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Unslove case,True,False,,
Unturned,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Unturned,True,True,,
URBO,d:\CWP\clockworksproduction.github.io\docs\asset\Game\URBO,True,True,,
VRChat,d:\CWP\clockworksproduction.github.io\docs\asset\Game\VRChat,True,True,,
World of Guns,d:\CWP\clockworksproduction.github.io\docs\asset\Game\World of Guns,True,True,,
War Thunder,d:\CWP\clockworksproduction.github.io\docs\asset\Game\War Thunder,True,True,,
We become what we behold,d:\CWP\clockworksproduction.github.io\docs\asset\Game\We become what we behold,True,True,,
the were cleaner,d:\CWP\clockworksproduction.github.io\docs\asset\Game\the were cleaner,True,True,,
